Project,Framework,LCCT,BCCT,MSCT
commons-cli,EvoGPT,96,93,92
commons-cli,TestART,87,87,86
commons-cli,EvoSuite,90,89,80
commons-codec,EvoGPT,96,93,85
commons-codec,TestART,83,81,78
commons-codec,EvoSuite,80,77,64
commons-collections,EvoGPT,95,91,92
commons-collections,TestART,81,83,79
commons-collections,EvoSuite,79,74,68
commons-compress,EvoGPT,84,83,80
commons-compress,TestART,76,72,71
commons-compress,EvoSuite,72,69,62
commons-csv,EvoGPT,96,94,97
commons-csv,TestART,81,79,77
commons-csv,EvoSuite,78,65,58
commons-jxpath,EvoGPT,90,87,82
commons-jxpath,TestART,76,73,71
commons-jxpath,EvoSuite,77,70,63
commons-lang,EvoGPT,94,94,85
commons-lang,TestART,88,84,83
commons-lang,EvoSuite,90,87,75
commons-math,EvoGPT,96,93,91
commons-math,TestART,86,81,80
commons-math,EvoSuite,86,80,69
gson,EvoGPT,93,91,85
gson,TestART,82,79,76
gson,EvoSuite,80,80,62
jackson-core,EvoGPT,89,90,83
jackson-core,TestART,79,75,79
jackson-core,EvoSuite,77,76,69
jackson-databind,EvoGPT,86,81,84
jackson-databind,TestART,78,77,76
jackson-databind,EvoSuite,78,75,65
jackson-dataformat-xml,EvoGPT,90,91,89
jackson-dataformat-xml,TestART,87,82,80
jackson-dataformat-xml,EvoSuite,83,79,70
jfreechart,EvoGPT,91,91,87
jfreechart,TestART,87,84,81
jfreechart,EvoSuite,87,85,76
jsoup,EvoGPT,92,92,92
jsoup,TestART,85,82,80
jsoup,EvoSuite,86,82,71
mockito,EvoGPT,92,88,83
mockito,TestART,87,83,78
mockito,EvoSuite,88,84,73
closure-compiler,EvoGPT,90,89,84
closure-compiler,TestART,85,81,77
closure-compiler,EvoSuite,90,86,71
joda-time,EvoGPT,91,89,84
joda-time,TestART,83,81,78
joda-time,EvoSuite,85,84,72
TOTAL,EvoGPT,92,90,87
TOTAL,TestART,83,80,78
TOTAL,EvoSuite,83,79,69
